novel,character,role,total_mentions,named_mentions,positions_found,unique_chunk_anchors,text_length,coverage_pct,most_common_mention,most_common_count,first_position_pct,last_position_pct,all_anchors_found,named_list
Novel1,Mr. Francis Barold,adversary,28,8,11.0,3.0,16108.0,31.33,Barold,8.0,0.02,83.6,True,
Novel1,"Lucia , who had been looking steadily out of the carriage-window",ally,17,10,9.0,3.0,16108.0,29.67,Lucia,9.0,0.32,95.28,True,
Novel1,"Octavia , which Miss Belinda thought rather inconsistent",hero,24,12,15.0,3.0,16108.0,28.5,Octavia,14.0,0.68,97.17,True,
Novel1,furious Lady Theobald,villain,12,4,4.0,3.0,16108.0,31.92,Lady Theobald,3.0,1.04,82.53,True,
Novel1,"Miss Belinda , following her closely",ally,33,18,27.0,3.0,16108.0,35.06,Belinda,14.0,11.37,96.13,True,
Novel10,Dick ; `` and yon,hero,38,16,15.0,3.0,11192.0,43.14,Dick,12.0,0.15,93.68,True,
Novel10,Joan,ally,3,3,4.0,3.0,11192.0,43.15,Joan,4.0,1.47,93.76,True,
Novel10,Joan to wife,ally,8,3,3.0,2.0,11192.0,50.96,Joanna,2.0,5.67,70.59,True,
Novel10,my Lord Foxham for a faithful patron,ally,15,8,10.0,3.0,11192.0,45.69,Lord Foxham,8.0,1.05,85.35,True,
Novel10,the nowise loth Alicia,ally,6,5,8.0,3.0,11192.0,52.47,Alicia,7.0,63.15,92.47,True,
Novel10,"Hamley , all jealousy forgotten",ally,7,6,3.0,2.0,11192.0,51.15,Hamley,2.0,76.68,91.92,True,
Novel10,Sir Daniel,villain,29,15,19.0,3.0,11192.0,53.74,Sir Daniel,9.0,11.1,57.94,True,
Novel10,Ellis Duckworth,ally,3,3,3.0,2.0,11192.0,53.73,Ellis,2.0,53.48,62.04,True,
Novel10,"Richard , `` I will pray for you , indeed ; though how I may prevail I wot not",ally,32,21,24.0,3.0,11192.0,50.75,Richard,12.0,5.83,80.9,True,
Novel10,the priest,villain,5,1,1.0,1.0,11192.0,53.72,the priest,1.0,58.27,58.27,True,
Novel10,Mistress Alicia Risingham,ally,3,2,2.0,2.0,11192.0,53.63,Alicia Risingham,2.0,63.15,75.83,True,
Novel11,Waymark 's,hero,57,21,20.0,3.0,13405.0,36.78,Waymark,20.0,0.0,92.95,True,
Novel11,Ida and himself,ally,15,13,11.0,3.0,13405.0,34.85,Ida,11.0,0.99,95.61,True,
Novel11,Julian Casti,ally,50,17,17.0,3.0,13405.0,39.77,Julian,16.0,2.26,87.62,True,
Novel11,Harriet,adversary,22,4,6.0,3.0,13405.0,44.86,Harriet,6.0,13.97,89.34,True,
Novel11,` ceptin ' Mrs. Sprowl,neutral,32,9,12.0,3.0,13405.0,44.77,Mrs. Sprowl,6.0,70.59,92.5,True,
Novel11,Casty,adversary,10,4,4.0,3.0,13405.0,44.89,Mrs. Casty,3.0,75.52,92.12,True,
Novel11,Maud,adversary,9,1,1.0,1.0,13405.0,38.72,Maud,1.0,93.84,93.84,True,
Novel12,Annie and Lizzie,neutral,3,3,2.0,2.0,23779.0,25.3,the two little girls,1.0,75.82,88.22,True,
Novel12,Kate 's,hero,80,12,12.0,3.0,23779.0,25.31,Kate,12.0,5.35,87.88,True,
Novel12,Dick,adversary,27,20,19.0,3.0,23779.0,23.26,Dick,19.0,6.38,98.03,True,
Novel12,her guests,ally,5,1,1.0,1.0,23779.0,25.26,her guests,1.0,14.03,14.03,True,
Novel12,The landlady,ally,6,2,3.0,3.0,23779.0,25.32,the landlady,3.0,28.34,93.33,True,
Novel12,Mrs. Rawson 's evening friend,ally,13,4,3.0,3.0,23779.0,25.3,Locker,3.0,30.25,34.08,True,
Novel12,nurse Mrs. Lennox,ally,19,6,7.0,3.0,23779.0,25.33,Mrs. Lennox,6.0,29.98,65.18,True,
